Age,Year,Quarter,YQ,Deaths,Population,Death_rate
70-79,2013,2,2013 Q2,2976,419422,0.007095479016360611
70-79,2013,3,2013 Q3,2841,425109,0.006682991891491358
70-79,2013,4,2013 Q4,2939,430423,0.006828166710422073
70-79,2014,1,2014 Q1,3025,435531,0.006945544634021459
70-79,2014,2,2014 Q2,3086,441752,0.006985820098154621
70-79,2014,3,2014 Q3,3047,448087,0.006800018746359524
70-79,2014,4,2014 Q4,3123,454465,0.006871816311487133
70-79,2015,1,2015 Q1,3419,459840,0.007435194850382742
70-79,2015,2,2015 Q2,3144,466433,0.006740517930763904
70-79,2015,3,2015 Q3,2950,473413,0.006231345569302068
70-79,2015,4,2015 Q4,3238,480179,0.006743318637424793
70-79,2016,1,2016 Q1,3440,486316,0.007073590011432896
70-79,2016,2,2016 Q2,3196,493771,0.006472636100540534
70-79,2016,3,2016 Q3,3058,501344,0.0060996042637390694
70-79,2016,4,2016 Q4,3437,507893,0.006767173400696603
70-79,2017,1,2017 Q1,3602,513155,0.007019321647455447
70-79,2017,2,2017 Q2,3315,519850,0.006376839472924882
70-79,2017,3,2017 Q3,3246,526453,0.006165792577874948
70-79,2017,4,2017 Q4,3458,531973,0.006500329903961291
70-79,2018,1,2018 Q1,3907,535741,0.007292703003876873
70-79,2018,2,2018 Q2,3390,540145,0.006276092530709347
70-79,2018,3,2018 Q3,3423,544861,0.006282336228873052
70-79,2018,4,2018 Q4,3551,548979,0.006468371285604731
70-79,2019,1,2019 Q1,3695,552058,0.0066931373152820895
70-79,2019,2,2019 Q2,3511,555711,0.0063180322145863586
70-79,2019,3,2019 Q3,3393,559355,0.006065915205906804
70-79,2019,4,2019 Q4,3543,562150,0.006302588277150227
70-79,2020,1,2020 Q1,3725,564390,0.006600046067435639
70-79,2020,2,2020 Q2,3602,567319,0.006349161582813197
70-79,2020,3,2020 Q3,3399,570642,0.005956449052120244
70-79,2020,4,2020 Q4,3813,572915,0.006655437543091034
70-79,2021,1,2021 Q1,3793,574697,0.006599999651990527
70-79,2021,2,2021 Q2,3714,577473,0.006431469523250437
70-79,2021,3,2021 Q3,3809,579567,0.006572147827602331
70-79,2021,4,2021 Q4,4092,580209,0.007052631034678883
70-79,2022,1,2022 Q1,4176,581036,0.007187162241238065
70-79,2022,2,2022 Q2,3853,582000,0.006620274914089347
70-79,2022,3,2022 Q3,3830,583321,0.00656585310660854
80-89,2008,1,2008 Q1,4733,189160,0.02502114611968704
80-89,2008,2,2008 Q2,4276,189355,0.02258192284333659
80-89,2008,3,2008 Q3,4025,189986,0.021185771583169286
80-89,2008,4,2008 Q4,4575,190662,0.023995342543348962
80-89,2009,1,2009 Q1,5183,190501,0.027207206261384453
80-89,2009,2,2009 Q2,4320,190353,0.02269467778285606
80-89,2009,3,2009 Q3,4091,191072,0.02141077708926478
80-89,2009,4,2009 Q4,4474,191699,0.023338671563231942
80-89,2010,1,2010 Q1,4830,190891,0.025302397703401418
80-89,2010,2,2010 Q2,4251,190117,0.02235991521010746
80-89,2010,3,2010 Q3,4220,190408,0.022162934330490314
80-89,2010,4,2010 Q4,4471,190466,0.023474005859313474
80-89,2011,1,2011 Q1,4552,190139,0.02394038045850667
80-89,2011,2,2011 Q2,4066,189957,0.021404844254225956
80-89,2011,3,2011 Q3,3887,190434,0.020411271096547886
80-89,2011,4,2011 Q4,4251,190959,0.022261323111243774
80-89,2012,1,2012 Q1,4440,190528,0.023303661404098085
80-89,2012,2,2012 Q2,4112,190821,0.0215489909391524
80-89,2012,3,2012 Q3,3870,191364,0.020223239480780083
80-89,2012,4,2012 Q4,4287,192081,0.022318709294516376
80-89,2013,1,2013 Q1,5073,192051,0.026414858553196807
80-89,2013,2,2013 Q2,4009,191473,0.020937677897144766
80-89,2013,3,2013 Q3,3751,192022,0.019534220037287393
80-89,2013,4,2013 Q4,4106,193045,0.02126965215364293
80-89,2014,1,2014 Q1,4240,193366,0.02192732952018452
80-89,2014,2,2014 Q2,3881,194191,0.019985478214747335
80-89,2014,3,2014 Q3,3922,195214,0.02009077217822492
80-89,2014,4,2014 Q4,4028,195922,0.02055920213146048
80-89,2015,1,2015 Q1,4586,196636,0.023322280762423972
80-89,2015,2,2015 Q2,3989,197226,0.020225528074391815
80-89,2015,3,2015 Q3,3823,198607,0.0192490697709547
80-89,2015,4,2015 Q4,4190,199891,0.020961423976066956
80-89,2016,1,2016 Q1,4524,200294,0.02258679740781052
80-89,2016,2,2016 Q2,4023,201067,0.020008255954482836
80-89,2016,3,2016 Q3,3864,202868,0.01904686791411164
80-89,2016,4,2016 Q4,4149,204513,0.020287218905399657
80-89,2017,1,2017 Q1,4661,205345,0.022698385643672842
80-89,2017,2,2017 Q2,4107,206442,0.019894207574040167
80-89,2017,3,2017 Q3,3876,208664,0.018575317256450563
80-89,2017,4,2017 Q4,4294,210542,0.02039498057394724
80-89,2018,1,2018 Q1,5082,212054,0.023965593669537006
80-89,2018,2,2018 Q2,4233,213260,0.019849010597392854
80-89,2018,3,2018 Q3,4164,215610,0.019312647836371225
80-89,2018,4,2018 Q4,4206,217302,0.019355551260457796
80-89,2019,1,2019 Q1,4581,219003,0.020917521677785236
80-89,2019,2,2019 Q2,4186,220656,0.01897070553259372
80-89,2019,3,2019 Q3,4073,223253,0.018243875782184338
80-89,2019,4,2019 Q4,4400,225521,0.019510378190944522
80-89,2020,1,2020 Q1,4524,227298,0.019903386743394133
80-89,2020,2,2020 Q2,4288,230018,0.01864201932022711
80-89,2020,3,2020 Q3,4167,232712,0.01790625322286775
80-89,2020,4,2020 Q4,4852,235390,0.02061260036535112
80-89,2021,1,2021 Q1,4716,236648,0.01992833237551131
80-89,2021,2,2021 Q2,4319,238755,0.01808967351469079
80-89,2021,3,2021 Q3,4621,241960,0.019098198049264343
80-89,2021,4,2021 Q4,5283,244532,0.021604534375869008
80-89,2022,1,2022 Q1,5301,246023,0.021546765952776773
80-89,2022,2,2022 Q2,4762,248451,0.019166757227783347
80-89,2022,3,2022 Q3,4746,252510,0.018795295235832243
90+,2008,1,2008 Q1,2342,35880,0.06527313266443702
90+,2008,2,2008 Q2,2119,35903,0.05902013759295881
90+,2008,3,2008 Q3,2041,36066,0.056590694837242835
90+,2008,4,2008 Q4,2256,36344,0.06207351970063835
90+,2009,1,2009 Q1,2645,36355,0.07275477926007427
90+,2009,2,2009 Q2,2007,35850,0.05598326359832636
90+,2009,3,2009 Q3,1931,35865,0.05384079185835773
90+,2009,4,2009 Q4,2125,36119,0.058833301032697474
90+,2010,1,2010 Q1,2359,36619,0.06442010977907643
90+,2010,2,2010 Q2,2056,37174,0.05530747296497552
90+,2010,3,2010 Q3,2084,37810,0.05511769373181698
90+,2010,4,2010 Q4,2288,38243,0.059827942368538035
90+,2011,1,2011 Q1,2431,38366,0.06336339467236615
90+,2011,2,2011 Q2,2133,38634,0.055210436403168195
90+,2011,3,2011 Q3,2096,39087,0.05362396704786758
90+,2011,4,2011 Q4,2302,39618,0.058104901812307534
90+,2012,1,2012 Q1,2444,39835,0.061353081461026734
90+,2012,2,2012 Q2,2146,40008,0.053639272145570883
90+,2012,3,2012 Q3,2116,40392,0.05238661121014062
90+,2012,4,2012 Q4,2343,40740,0.05751104565537555
90+,2013,1,2013 Q1,2893,40632,0.07120003937783029
90+,2013,2,2013 Q2,2284,40409,0.0565220619168997
90+,2013,3,2013 Q3,2117,40791,0.05189870314530166
90+,2013,4,2013 Q4,2116,41274,0.05126714154189078
90+,2014,1,2014 Q1,2366,41525,0.05697772426249247
90+,2014,2,2014 Q2,2136,41845,0.05104552515234795
90+,2014,3,2014 Q3,2334,42384,0.055067950169875424
90+,2014,4,2014 Q4,2407,42657,0.05642684670745716
90+,2015,1,2015 Q1,2843,42773,0.06646716386505507
90+,2015,2,2015 Q2,2363,42699,0.05534087449354786
90+,2015,3,2015 Q3,2228,42984,0.05183324027545133
90+,2015,4,2015 Q4,2436,43386,0.05614714424007745
90+,2016,1,2016 Q1,2709,43464,0.06232744340143567
90+,2016,2,2016 Q2,2394,43571,0.05494480273576462
90+,2016,3,2016 Q3,2237,43953,0.05089527449775897
90+,2016,4,2016 Q4,2572,44380,0.05795403334835512
90+,2017,1,2017 Q1,3009,44376,0.06780692266089779
90+,2017,2,2017 Q2,2434,44063,0.05523908948550938
90+,2017,3,2017 Q3,2315,44427,0.052107952371305735
90+,2017,4,2017 Q4,2536,44801,0.0566058793330506
90+,2018,1,2018 Q1,3221,44640,0.07215501792114695
90+,2018,2,2018 Q2,2495,44232,0.05640712606257913
90+,2018,3,2018 Q3,2458,44402,0.05535786676275843
90+,2018,4,2018 Q4,2508,44681,0.056131241467290344
90+,2019,1,2019 Q1,2771,44743,0.061931475314574345
90+,2019,2,2019 Q2,2478,44756,0.05536687818393064
90+,2019,3,2019 Q3,2378,44955,0.05289734178623068
90+,2019,4,2019 Q4,2654,45246,0.05865711886133581
90+,2020,1,2020 Q1,2696,45028,0.05987385626721151
90+,2020,2,2020 Q2,2513,45027,0.05581095786972261
90+,2020,3,2020 Q3,2484,45265,0.05487683640782061
90+,2020,4,2020 Q4,2668,45455,0.05869541304586954
90+,2021,1,2021 Q1,2746,45458,0.0604074090369132
90+,2021,2,2021 Q2,2528,45479,0.05558609468106159
90+,2021,3,2021 Q3,2628,45691,0.05751679761878707
90+,2021,4,2021 Q4,2989,45877,0.06515247291671208
90+,2022,1,2022 Q1,3198,45465,0.07033982184097658
90+,2022,2,2022 Q2,2598,45152,0.057538979447200565
90+,2022,3,2022 Q3,2548,45362,0.05617036285878048
