Date;Age;Sex;Deaths
2007-01-13;30-39;Male;2
2007-01-13;40-49;Female;1
2007-01-13;40-49;Male;2
2007-01-13;50-59;Female;3
2007-01-13;50-59;Male;5
2007-01-13;60-69;Female;7
2007-01-13;60-69;Male;6
2007-01-13;70-79;Female;19
2007-01-13;70-79;Male;18
2007-01-13;80-89;Female;37
2007-01-13;80-89;Male;29
2007-01-13;90+;Female;15
2007-01-13;90+;Male;8
2007-01-14;0-9;Female;1
2007-01-14;0-9;Male;0
2007-01-14;10-19;Female;0
2007-01-14;10-19;Male;0
2007-01-14;20-29;Female;0
2007-01-14;20-29;Male;0
2007-01-14;30-39;Female;0
2007-01-14;30-39;Male;0
2007-01-14;40-49;Female;2
2007-01-14;40-49;Male;2
2007-01-14;50-59;Female;5
2007-01-14;50-59;Male;4
2007-01-14;60-69;Female;10
2007-01-14;60-69;Male;10
2007-01-14;70-79;Female;16
2007-01-14;70-79;Male;21
2007-01-14;80-89;Female;31
2007-01-14;80-89;Male;37
2007-01-14;90+;Female;23
2007-01-14;90+;Male;7
2007-01-15;0-9;Female;0
2007-01-15;0-9;Male;0
2007-01-15;10-19;Female;0
2007-01-15;10-19;Male;0
2007-01-15;20-29;Female;0
2007-01-15;20-29;Male;1
2007-01-15;30-39;Female;0
2007-01-15;30-39;Male;3
2007-01-15;40-49;Female;3
2007-01-15;40-49;Male;6
2007-01-15;50-59;Female;4
2007-01-15;50-59;Male;7
2007-01-15;60-69;Female;11
2007-01-15;60-69;Male;10
2007-01-15;70-79;Female;9
2007-01-15;70-79;Male;21
2007-01-15;80-89;Female;33
2007-01-15;80-89;Male;21
2007-01-15;90+;Female;18
2007-01-15;90+;Male;5
2007-01-16;0-9;Female;0
2007-01-16;0-9;Male;0
2007-01-16;10-19;Female;0
2007-01-16;10-19;Male;1
2007-01-16;20-29;Female;0
2007-01-16;20-29;Male;1
2007-01-16;30-39;Female;0
2007-01-16;30-39;Male;1
2007-01-16;40-49;Female;1
2007-01-16;40-49;Male;6
2007-01-16;50-59;Female;5
2007-01-16;50-59;Male;4
2007-01-16;60-69;Female;14
2007-01-16;60-69;Male;16
2007-01-16;70-79;Female;13
2007-01-16;70-79;Male;29
2007-01-16;80-89;Female;25
2007-01-16;80-89;Male;20
2007-01-16;90+;Female;19
2007-01-16;90+;Male;5
2007-01-17;0-9;Female;0
2007-01-17;0-9;Male;0
2007-01-17;10-19;Female;0
2007-01-17;10-19;Male;0
2007-01-17;20-29;Female;0
2007-01-17;20-29;Male;3
2007-01-17;30-39;Female;1
2007-01-17;30-39;Male;0
2007-01-17;40-49;Female;1
2007-01-17;40-49;Male;4
2007-01-17;50-59;Female;5
2007-01-17;50-59;Male;7
2007-01-17;60-69;Female;13
2007-01-17;60-69;Male;14
2007-01-17;70-79;Female;21
2007-01-17;70-79;Male;17
2007-01-17;80-89;Female;27
2007-01-17;80-89;Male;25
2007-01-17;90+;Female;13
2007-01-17;90+;Male;8
2007-01-18;0-9;Female;0
2007-01-18;0-9;Male;1
2007-01-18;10-19;Female;0
2007-01-18;10-19;Male;1
2007-01-18;20-29;Female;0
2007-01-18;20-29;Male;0
2007-01-18;30-39;Female;0
2007-01-18;30-39;Male;0
2007-01-18;40-49;Female;2
2007-01-18;40-49;Male;3
2007-01-18;50-59;Female;4
2007-01-18;50-59;Male;10
2007-01-18;60-69;Female;9
2007-01-18;60-69;Male;17
2007-01-18;70-79;Female;19
2007-01-18;70-79;Male;20
2007-01-18;80-89;Female;20
2007-01-18;80-89;Male;16
2007-01-18;90+;Female;17
2007-01-18;90+;Male;5
2007-01-19;0-9;Female;1
2007-01-19;0-9;Male;1
